animal_type,country,weight_kg,body_length_cm,gender,latitude,longitude,observation_date,data_compiled_by
,,,,,,,03.01.2024,James Johnson
,,,,,,,03.02.2024,James Johnson
European bison,Poland,930.0,335.0,male,52.828845,23.820144,01.03.2024,Anne Anthony
European bison,Poland,909.0,311.0,not determined,52.830509,23.826849,01.03.2024,Anne Anthony
European bison,Poland,581.0,277.0,female,52.834109,23.807093,01.03.2024,Anne Anthony
European bisson,Poland,900.0,295.0,male,52.834759,23.817201,01.03.2024,Anne Anthony
European buster,Poland,620.0,250.0,female,52.83496,23.82075,01.03.2024,Anne Anthony
lynx,Hungary,24.0,76.0,male,48.505494,20.551966,01.03.2024,Anne Anthony
lynx?,Hungary,23.0,82.0,female,48.506529,20.554548,01.03.2024,Anne Anthony
red squirel,Poland,0.308,22.0,female,52.241273,21.055745,01.03.2024,Anne Anthony
red squirrel,PL,0.348,20.0,female,52.24206,21.057802,01.03.2024,Anne Anthony
red squirrel,Poland,0.316,20.0,male,52.240035,21.056188,01.03.2024,Anne Anthony
red squirrel,Poland,0.34,21.0,,52.240284,21.051948,01.03.2024,Anne Anthony
red squirrel,Poland,0.333,21.0,male,,,01.03.2024,Anne Anthony
red squirrel,Poland,0.265,19.0,female,52.24056,21.055899,01.03.2024,Anne Anthony
red squirrel,Poland,,,male,52.241177,21.052873,01.03.2024,Anne Anthony
red squirrel,PL,0.261,22.0,female,52.240833,21.052093,01.03.2024,Anne Anthony
red squirrel,Poland,0.317,23.0,male,52.241358,21.056352,01.03.2024,Anne Anthony
red squirrel,Poland,0.328,21.0,male,52.241905,21.050727,01.03.2024,Anne Anthony
red squirrel,Hungary,0.305,21.0,male,47.511401,18.949119,01.03.2024,Anne Anthony
red squirrell,Poland,0.328,23.0,male,52.24192,21.056347,01.03.2024,Anne Anthony
red squirrel,Germany,0.294,19.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.25,19.0,female,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.262,21.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.267,21.0,female,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.269,22.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.308,22.0,female,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.308,19.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.27,20.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.32,20.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.262,20.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.256,21.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.245,22.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.292,19.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.289,19.0,female,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.308,22.0,male,,,01.03.2024,Bob Bobson
European bison,Slovakia,420.0,182.0,male,49.054684,22.417189,01.03.2024,John Johnson
European bison,Slovakia,511.0,266.0,female,49.053629,22.421831,01.03.2024,John Johnson
European bison,Slovakia,814.0,288.0,male,49.053489,22.415229,01.03.2024,John Johnson
European bison,Slovakia,130.0,141.0,female,49.054166,22.422852,01.03.2024,John Johnson
European bison,Slovakia,390.0,180.0,female,49.052731,22.422675,01.03.2024,John Johnson
European bison,Slovakia,355.0,179.0,male,49.055974,22.415985,01.03.2024,John Johnson
European bison,Slovakia,566.0,272.0,female,49.053342,22.423867,01.03.2024,John Johnson
European bison,Slovakia,393.0,152.0,not determined,49.056471,22.422475,01.03.2024,John Johnson
European bison,Czech Republic,823.0,286.0,male,50.636564,14.834553,01.03.2024,John Johnson
European bison,Slovakia,695.0,316.0,male,49.055537,22.419428,01.03.2024,John Johnson
hedgehog,Czech Republic,0.6,20.0,female,50.636869,14.844555,01.03.2024,John Johnson
hedgehog,Czech Republic,0.6,-16.0,male,50.644733,14.835753,01.03.2024,John Johnson
hedgehog,Czech Republic,1.2,31.0,male,50.635766,14.844247,01.03.2024,John Johnson
red squirrel,Slovakia,0.275,23.0,male,48.185353,17.08322,01.03.2024,John Johnson
wedgehod,Czech Republic,0.9,22.0,male,50.642843,14.84124,01.03.2024,John Johnson
lynx,Hungary,23.0,78.0,female,48.504128,20.568479,02.03.2024,Anne Anthony
lynx?,Poland,29.0,94.0,male,52.809851,23.858071,02.03.2024,Anne Anthony
red squirrel,Germany,0.244,22.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.299,21.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.284,20.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.289,20.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.284,21.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.314,22.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.262,19.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.258,20.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.297,21.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.255,22.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.28,22.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.293,22.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.295,20.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.28,20.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.281,20.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.245,21.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.283,21.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.27,19.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.315,22.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.254,17.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.249,19.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.298,21.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.314,19.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.251,19.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.293,20.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.301,20.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.271,17.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.275,20.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.304,21.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.308,20.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.24,21.0,male,,,02.03.2024,Bob Bobson
European bison,Czech,402.0,162.0,female,50.641008,14.836529,02.03.2024,John Johnson
European bison,Czech Republic,535.0,295.0,male,50.643406,14.836495,02.03.2024,John Johnson
European buster,Czech Republic,572.0,251.0,female,50.638945,14.845452,02.03.2024,John Johnson
hedgehog,Czech Republic,0.9,20.0,female,50.639869,14.849702,02.03.2024,John Johnson
hedgehog,Czech Republic,0.7,16.0,female,50.643039,14.840662,02.03.2024,John Johnson
hedgehog,Czech Republic,0.7,14.0,female,50.637879,14.838429,02.03.2024,John Johnson
hedgehog,Czech Republic,1.1,32.0,male,50.643254,14.84373,02.03.2024,John Johnson
hedgehog,Czech Republic,0.5,20.0,male,50.643854,14.837155,02.03.2024,John Johnson
hedgehog,Czech Republic,1.1,22.0,female,50.635584,14.837072,02.03.2024,John Johnson
hedgehog,Czech Republic,1.0,20.0,female,50.642723,14.837229,02.03.2024,John Johnson
hedgehog,Czech Republic,0.7,13.0,female,50.639389,14.8444,02.03.2024,John Johnson
lynx,Slovakia,30.0,120.0,male,48.409308,18.832606,02.03.2024,John Johnson
red squirrel,Hungry,0.262,20.0,female,47.510799,18.945583,03.03.2024,Anne Anthony
,,,,,,,03.03.2024,James Johnson
hedgehog,Czech Republic,0.6,20.0,male,50.637375,14.839785,03.03.2024,John Johnson
lynx,Slovakia,28.0,131.0,male,48.406304,18.842851,03.03.2024,John Johnson
red squirel,Slovakia,0.281,18.0,male,48.18769,17.086471,03.03.2024,John Johnson
European bison,Poland,650.0,285.0,female,52.834741,23.826716,04.03.2024,Anne Anthony
hedgehog,HU,1.1,24.0,male,48.503795,20.555932,04.03.2024,Anne Anthony
hedgehog,Hungary,1.1,26.0,not determined,48.503062,20.551698,04.03.2024,Anne Anthony
hedgehog,Hungary,0.8,18.0,female,48.503498,20.539662,04.03.2024,Anne Anthony
hedgehog,Hungary,1.2,26.0,male,48.509298,20.551977,04.03.2024,Anne Anthony
hedgehog,Poland,0.9,22.0,male,52.214679,21.033021,04.03.2024,Anne Anthony
lynx,Hungary,25.0,89.0,male,48.504169,20.559452,04.03.2024,Anne Anthony
red squirel,Hungary,0.283,18.0,female,48.505251,20.551473,04.03.2024,Anne Anthony
red squirrel,Hungary,0.307,-19.0,male,,,04.03.2024,Anne Anthony
red squirrel,Hungary,0.296,22.0,male,48.502584,20.532518,04.03.2024,Anne Anthony
red squirrel,Hungary,0.301,18.0,female,48.505512,20.538038,04.03.2024,Anne Anthony
red squirrel,Hungary,0.295,17.0,male,48.50578,20.546466,04.03.2024,Anne Anthony
red squirrel,Hungry,0.32,18.0,male,48.502091,20.547521,04.03.2024,Anne Anthony
red squirrel,Hungary,0.28,19.0,female,48.505494,20.536362,04.03.2024,Anne Anthony
red squirrel,Poland,0.33,24.0,male,52.241203,21.050999,04.03.2024,Anne Anthony
red squirrel,Poland,0.3,22.0,female,52.240018,21.05239,04.03.2024,Anne Anthony
red squirrel,Poland,0.283,17.0,female,52.239931,21.056703,04.03.2024,Anne Anthony
red squirrel,Poland,0.341,21.0,male,52.241856,21.053078,04.03.2024,Anne Anthony
red squirrel,PL,0.35,24.0,male,52.240453,21.055847,04.03.2024,Anne Anthony
red squirrel,Poland,0.291,21.0,,52.241662,21.05643,04.03.2024,Anne Anthony
red squirrel,Poland,0.329,22.0,female,52.241638,21.055998,04.03.2024,Anne Anthony
red squirrell,HU,0.327,18.0,female,48.502803,20.548668,04.03.2024,Anne Anthony
red squirrell,Poland,0.35,24.0,male,52.240497,21.055991,04.03.2024,Anne Anthony
hedgehog,Czech Republic,0.6,17.0,male,50.635501,14.838158,04.03.2024,John Johnson
hedgehog,Czech Republic,0.9,22.0,female,50.638142,14.849689,04.03.2024,John Johnson
red squirrel,Czech Republic,0.289,21.0,female,49.937872,14.179825,04.03.2024,John Johnson
red squirrel,Slovakia,0.297,20.0,female,48.185194,17.083142,04.03.2024,John Johnson
lynx,HU,24.0,79.0,male,48.503043,20.561567,05.03.2024,Anne Anthony
red squirrel,Poland,0.301,23.0,female,52.240867,21.054339,05.03.2024,Anne Anthony
red squirrel,Poland,0.344,20.0,male,52.240522,21.057552,05.03.2024,Anne Anthony
red squirrel,Hungary,0.253,-19.0,male,47.507002,18.950091,05.03.2024,Anne Anthony
red squirrel,Hungary,0.293,18.0,female,47.507557,18.942066,05.03.2024,Anne Anthony
,Austria,0.263,22.0,male,,,05.03.2024,Bob Bobson
hedgehog,Czech,0.9,19.0,female,50.107284,14.346127,05.03.2024,John Johnson
lynx?,Slovakia,23.0,97.0,female,48.413226,18.848128,05.03.2024,John Johnson
red squirel,Slovakia,0.333,23.0,male,48.409023,18.84399,05.03.2024,John Johnson
red squirrel,Slovakia,0.32,17.0,male,48.406733,18.838754,05.03.2024,John Johnson
red squirrel,Slovakia,0.266,18.0,female,48.40459,18.846849,05.03.2024,John Johnson
red squirrel,Slovakia,0.306,22.0,male,48.408318,18.844383,05.03.2024,John Johnson
red squirrel,Slovakia,0.311,22.0,male,48.412458,18.832425,05.03.2024,John Johnson
red squirrel,Slovakia,0.291,22.0,female,48.406551,18.837137,05.03.2024,John Johnson
red squirrell,Slovakia,0.259,19.0,male,48.405516,18.850994,05.03.2024,John Johnson
European bison,Poland,454.0,225.0,female,52.834423,23.827103,06.03.2024,Anne Anthony
hedgehog,Poland,1.1,22.0,female,52.214521,21.031889,06.03.2024,Anne Anthony
hedgehog,Poland,0.9,21.0,male,52.214934,21.032106,06.03.2024,Anne Anthony
lynx,Hungry,18.0,81.0,female,48.511532,20.539112,06.03.2024,Anne Anthony
red squirrel,Poland,0.343,23.0,male,52.241638,21.057329,06.03.2024,Anne Anthony
red squirrel,Poland,0.274,22.0,female,52.241235,21.057356,06.03.2024,Anne Anthony
hedgehog,Czech Republic,0.6,17.0,female,50.106942,14.348502,06.03.2024,John Johnson
hedgehog,Czech Republic,0.4,12.0,female,50.107223,14.34732,06.03.2024,John Johnson
hedgehog,Czech Republic,1.1,26.0,male,50.106379,14.347645,06.03.2024,John Johnson
hedgehog,Czech Republic,0.8,22.0,male,50.106579,14.346283,06.03.2024,John Johnson
red squirrel,Slovakia,0.334,21.0,male,48.188008,17.085312,06.03.2024,John Johnson
red squirrell,Slovakia,0.307,23.0,female,48.185298,17.084072,06.03.2024,John Johnson
European bison,Poland,862.0,312.0,male,52.831879,23.826297,07.03.2024,Anne Anthony
hedgehog,Hungary,,,female,48.506206,20.565308,07.03.2024,Anne Anthony
hedgehog,Hungary,0.5,16.0,male,48.50509,20.539448,07.03.2024,Anne Anthony
hedgehog,Hungary,0.8,23.0,female,48.504425,20.548744,07.03.2024,Anne Anthony
hedgehog,Hungary,0.7,18.0,female,48.505617,20.541054,07.03.2024,Anne Anthony
hedgehog,Hungry,1.2,23.0,male,48.503254,20.555951,07.03.2024,Anne Anthony
hedgehog,Hungry,0.5,15.0,male,48.502359,20.563385,07.03.2024,Anne Anthony
hedgehog,Hungary,0.6,18.0,female,48.511048,20.567209,07.03.2024,Anne Anthony
lynx,Hungary,29.0,109.0,male,48.501574,20.532455,07.03.2024,Anne Anthony
lynx,Poland,26.0,85.0,female,52.808579,23.843768,07.03.2024,Anne Anthony
red squirrel,HU,0.296,19.0,male,-2.023546,34.896734,07.03.2024,Anne Anthony
red squirrel,Hungary,0.3,23.0,male,48.505406,20.535848,07.03.2024,Anne Anthony
red squirrel,Hungary,0.286,18.0,female,48.503917,20.536503,07.03.2024,Anne Anthony
red squirrel,Poland,0.318,21.0,male,52.240616,21.054902,07.03.2024,Anne Anthony
European bison,Czech Republic,716.0,303.0,male,50.636161,14.846951,07.03.2024,John Johnson
European bison,Czech Republic,541.0,212.0,female,50.642592,14.85014,07.03.2024,John Johnson
European bisson,Czech Republic,30.0,100.0,female,50.636423,14.847287,07.03.2024,John Johnson
ledgehod,Czech Republic,0.7,20.0,female,50.106607,14.347909,07.03.2024,John Johnson
ledgehod,Czech Republic,0.7,20.0,female,50.106925,14.346629,07.03.2024,John Johnson
ledgehod,Czech Republic,1.2,26.0,male,50.107284,14.347676,07.03.2024,John Johnson
red squirrel,Czech Republic,0.273,17.0,female,49.938634,14.181813,07.03.2024,John Johnson
hedgehog,Hungary,1.0,24.0,female,48.506913,20.540427,08.03.2024,Anne Anthony
hedgehog,Poland,0.8,19.0,female,52.214365,21.031462,08.03.2024,Anne Anthony
red squirrel,Hungary,0.261,19.0,female,47.507023,18.940532,08.03.2024,Anne Anthony
hedgehog,Czech Republic,0.8,22.0,male,50.106811,14.348513,08.03.2024,John Johnson
hedgehog,Czech Republic,1.1,23.0,male,50.107278,14.348461,08.03.2024,John Johnson
European bison,Poland,621.0,277.0,female,52.828561,23.816861,09.03.2024,Anne Anthony
European bison,Poland,385.0,168.0,female,52.833261,23.815203,09.03.2024,Anne Anthony
hedgehog,Poland,0.6,-19.0,male,52.21441,21.032484,09.03.2024,Anne Anthony
hedgehog,Poland,0.8,22.0,female,52.214452,21.034505,09.03.2024,Anne Anthony
lynx,Hungary,12.0,61.0,female,48.508239,20.567914,09.03.2024,Anne Anthony
lynx,Hungary,23.0,73.0,female,48.507503,20.551726,09.03.2024,Anne Anthony
lynx,PL,20.0,95.0,female,52.814984,23.840681,09.03.2024,Anne Anthony
lynx,Poland,18.0,63.0,male,52.812647,23.863299,09.03.2024,Anne Anthony
red squirrel,Poland,0.302,22.0,male,52.241375,21.050845,09.03.2024,Anne Anthony
red squirrell,Hungary,0.284,20.0,female,47.50938,18.949607,09.03.2024,Anne Anthony
hedgehog,Czech Republic,0.9,22.0,female,50.106583,14.346471,09.03.2024,John Johnson
hedgehog,Czech Republic,1.1,23.0,male,50.10696,14.346126,09.03.2024,John Johnson
hedgehog,Czech Republic,0.6,19.0,male,50.106311,14.346906,09.03.2024,John Johnson
red squirrel,Czech Republic,0.293,19.0,male,49.937416,14.181449,09.03.2024,John Johnson
hedgehog,Hungary,0.9,20.0,female,48.51108,20.567192,10.03.2024,Anne Anthony
hedgehog,Hungary,0.9,21.0,male,48.50529,20.566169,10.03.2024,Anne Anthony
hedgehog,Hungary,1.1,26.0,male,48.502486,20.562565,10.03.2024,Anne Anthony
lynx,Hungary,23.0,77.0,female,48.509272,20.551952,10.03.2024,Anne Anthony
lynx,Hungry,15.0,71.0,male,48.50118,20.557432,10.03.2024,Anne Anthony
hedgehog,Czech Republic,0.8,17.0,male,49.938707,14.182507,10.03.2024,John Johnson
hedgehog,Czech Republic,0.5,18.0,female,49.937531,14.180359,10.03.2024,John Johnson
hedgehog,Czech Republic,0.7,17.0,female,49.93789,14.180882,10.03.2024,John Johnson
hedgehog,Czech Republic,0.5,15.0,female,49.93734,14.18071,10.03.2024,John Johnson
European bison,Poland,24.0,100.0,female,52.834112,23.825722,11.03.2024,Anne Anthony
hedgehog,Hungary,0.9,19.0,female,48.505634,20.543417,11.03.2024,Anne Anthony
hedgehog,Poland,0.8,16.0,female,52.214968,21.030987,11.03.2024,Anne Anthony
lynx,Hungary,20.0,90.0,female,48.501938,20.567814,11.03.2024,Anne Anthony
red squirel,Hungary,0.322,21.0,male,48.506217,20.545055,11.03.2024,Anne Anthony
red squirrel,HU,0.282,21.0,male,-2.023546,34.896734,11.03.2024,Anne Anthony
red squirrel,Hungary,0.311,22.0,female,48.505737,20.546731,11.03.2024,Anne Anthony
red squirrel,Hungary,0.336,22.0,female,48.506095,20.543032,11.03.2024,Anne Anthony
red squirrel,Hungary,0.29,21.0,male,48.506429,20.543875,11.03.2024,Anne Anthony
red squirrel,Hungary,0.293,20.0,male,48.50586,20.547649,11.03.2024,Anne Anthony
red squirrel,Hungary,0.335,19.0,female,48.502521,20.558578,11.03.2024,Anne Anthony
red squirrel,Hungary,0.339,19.0,female,48.503752,20.558664,11.03.2024,Anne Anthony
red squirrel,Poland,0.304,22.0,,52.241093,21.055413,11.03.2024,Anne Anthony
red squirel,Czech Republic,0.271,18.0,male,49.937391,14.179566,11.03.2024,John Johnson
European bisson,Poland,315.0,175.0,male,52.829512,23.811681,12.03.2024,Anne Anthony
red squirrel,Poland,0.316,24.0,male,52.240707,21.057051,12.03.2024,Anne Anthony
red squirrel,Hungry,,,female,47.508454,18.949343,12.03.2024,Anne Anthony
hedgehog,Czech Republic,0.6,20.0,male,49.938169,14.178703,12.03.2024,John Johnson
hedgehog,Czech,0.4,17.0,male,49.938527,14.179315,12.03.2024,John Johnson
red squirrel,Czech Republic,0.324,23.0,female,49.937724,14.182072,12.03.2024,John Johnson
hedgehog,Hungary,0.6,14.0,female,48.506262,20.547343,13.03.2024,Anne Anthony
hedgehog,Poland,0.8,24.0,male,52.214734,21.031915,13.03.2024,Anne Anthony
lynx?,Hungary,20.0,86.0,male,48.504717,20.558726,13.03.2024,Anne Anthony
red squirrel,Poland,0.36,23.0,female,52.24151,21.052575,13.03.2024,Anne Anthony
red squirrel,Hungary,0.26,18.0,male,47.505768,18.943674,13.03.2024,Anne Anthony
red squirrel,Germany,0.335,18.0,male,48.161549,11.493041,13.03.2024,Bob Bobson
hedgehog,Czech Republic,0.6,15.0,female,49.939297,14.181453,13.03.2024,John Johnson
red squirel,Slovakia,0.288,18.0,female,48.185953,17.08393,13.03.2024,John Johnson
European bison,Poland,610.0,258.0,female,52.821135,23.809947,14.03.2024,Anne Anthony
hedgehog,Hungary,0.7,21.0,female,48.509199,20.552447,14.03.2024,Anne Anthony
hedgehog,Poland,1.0,21.0,female,52.213985,21.030841,14.03.2024,Anne Anthony
hedgehog,PL,0.8,15.0,female,52.213877,21.030861,14.03.2024,Anne Anthony
red squirrel,Poland,0.32,21.0,female,52.241309,21.057247,14.03.2024,Anne Anthony
red squirrell,Hungary,0.287,23.0,female,47.508679,18.946127,14.03.2024,Anne Anthony
hedgehog,Australia,0.8,24.0,not determined,47.781689,14.386777,14.03.2024,Bob Bobson
hedgehog,Austria,0.7,19.0,female,47.781139,14.382004,14.03.2024,Bob Bobson
hedgehog,Austria,0.8,20.0,male,47.781828,14.385001,14.03.2024,Bob Bobson
hedgehog,Austria,0.6,14.0,female,47.78106,14.386807,14.03.2024,Bob Bobson
hedgehog,Austria,0.7,24.0,male,47.780872,14.38446,14.03.2024,Bob Bobson
hedgehog,Austria,0.8,21.0,female,47.781117,14.38608,14.03.2024,Bob Bobson
lynx,Austria,22.0,80.0,female,47.780779,14.384918,14.03.2024,Bob Bobson
lynx,Austria,23.0,86.0,male,47.781257,14.383099,14.03.2024,Bob Bobson
hedgehog,Czech Republic,0.9,16.0,female,49.93849,14.1802,14.03.2024,John Johnson
hedgehog,Poland,0.9,22.0,male,52.214498,21.034201,15.03.2024,Anne Anthony
lynx,Poland,16.0,70.0,male,52.803129,23.844358,15.03.2024,Anne Anthony
hedgehog,Czech Republic,0.7,21.0,female,49.938132,14.181225,15.03.2024,John Johnson
red squirel,Slovakia,0.294,23.0,male,48.184374,17.086,15.03.2024,John Johnson
red squirrel,Czech Republic,0.267,18.0,female,49.93886,14.182738,15.03.2024,John Johnson
red squirrel,Czech Republic,0.328,19.0,male,49.938357,14.177929,15.03.2024,John Johnson
European bison,Poland,35.0,125.0,female,52.820739,23.815145,16.03.2024,Anne Anthony
hedgehog,Hungary,0.6,23.0,male,48.501763,20.547976,16.03.2024,Anne Anthony
lynx,Poland,16.0,72.0,male,52.814211,23.834358,16.03.2024,Anne Anthony
lynx,Poland,18.0,81.0,female,52.802757,23.835199,16.03.2024,Anne Anthony
red squirrel,Poland,0.346,19.0,male,52.240529,21.053603,16.03.2024,Anne Anthony
red squirrel,Hungary,0.27,22.0,female,47.509866,18.942538,16.03.2024,Anne Anthony
red squirrel,Slovakia,0.326,19.0,female,48.185585,17.091365,16.03.2024,John Johnson
European bison,Poland,915.0,304.0,male,52.82288,23.810852,17.03.2024,Anne Anthony
hedgehog,Hungary,0.7,15.0,female,48.504773,20.536543,17.03.2024,Anne Anthony
hedgehog,Poland,0.6,15.0,female,52.214745,21.033701,17.03.2024,Anne Anthony
red squirrel,Hungary,0.278,21.0,female,47.510304,18.942925,17.03.2024,Anne Anthony
red squirrel,Slovakia,0.322,23.0,female,49.056857,22.416369,17.03.2024,John Johnson
red squirrel,Slovakia,0.302,23.0,male,48.41237,18.875325,17.03.2024,John Johnson
red squirrel,Slovakia,0.334,20.0,female,48.406983,18.863197,17.03.2024,John Johnson
red squirrel,Slovakia,0.28,19.0,male,48.411486,18.86773,17.03.2024,John Johnson
red squirrell,Slovakia,0.289,18.0,male,48.410536,18.870325,17.03.2024,John Johnson
European bison,Poland,537.0,287.0,female,52.8255,23.808386,18.03.2024,Anne Anthony
red squirrel,Poland,0.346,23.0,male,52.240737,21.053063,18.03.2024,Anne Anthony
hedgehog,Czech Republic,1.2,26.0,male,49.938547,14.180402,18.03.2024,John Johnson
hedgehog,CZ,0.9,17.0,male,49.937429,14.18264,18.03.2024,John Johnson
red squirrel,Czech Republic,0.32,18.0,female,49.938634,14.179739,18.03.2024,John Johnson
red squirrel,Czech Republic,0.266,17.0,male,49.939062,14.177939,18.03.2024,John Johnson
hedgehog,Hungary,1.1,19.0,female,48.502512,20.563331,19.03.2024,Anne Anthony
hedgehog,Poland,0.4,16.0,male,52.214758,21.030697,19.03.2024,Anne Anthony
hedgehog,Austria,1.1,21.0,female,47.781212,14.384017,19.03.2024,Bob Bobson
hedgehog,Austria,0.7,25.0,male,47.781764,14.38328,19.03.2024,Bob Bobson
hedgehog,Austria,1.1,24.0,male,47.781883,14.382628,19.03.2024,Bob Bobson
hedgehog,Austria,0.4,21.0,female,47.781093,14.38209,19.03.2024,Bob Bobson
hedgehog,Germany,0.8,16.0,male,52.585958,13.147098,19.03.2024,Bob Bobson
